"Contact ID","campaign_id","parent_campaign_id","Campaign LaunchTime","Email Opened Time","country","state","Email Opened"
108951,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:00:00",NULL,NULL,"1"
151964,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:14:00",NULL,NULL,"1"
109400,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:02:00",NULL,NULL,"1"
151665,9556,8955,"2020-06-17 07:00:00","2020-07-01 10:03:00",NULL,NULL,"1"
59965,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:04:00",NULL,NULL,"1"
110065,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:03:00",NULL,NULL,"1"
115214,9556,8955,"2020-06-17 07:00:00","2020-07-02 03:41:00",NULL,NULL,"1"
151005,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:05:00",NULL,NULL,"1"
72158,8351,8350,"2020-03-24 11:00:00","2020-04-21 16:18:00",NULL,NULL,"1"
150575,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:55:00","Brazil","Rio de Janeiro","1"
151964,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:03:00",NULL,NULL,"1"
72045,9556,8955,"2020-06-17 07:00:00","2020-07-01 13:14:00",NULL,NULL,"1"
72174,8351,8350,"2020-03-24 11:00:00","2020-03-31 08:04:00",NULL,NULL,"1"
109307,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00",NULL,NULL,"1"
72409,9556,8955,"2020-06-17 07:00:00","2020-07-01 13:14:00",NULL,NULL,"1"
151091,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:14:00","United Kingdom","England","1"
109266,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00","United States","Texas","1"
60100,8351,8350,"2020-03-24 11:00:00","2020-04-07 12:19:00",NULL,NULL,"1"
106701,9556,8955,"2020-06-17 07:00:00","2020-06-24 08:55:00",NULL,NULL,"1"
149844,9556,8955,"2020-06-17 07:00:00","2020-06-26 06:16:00",NULL,NULL,"1"
150166,9556,8955,"2020-06-17 07:00:00","2020-07-01 06:59:00",NULL,NULL,"1"
72766,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:01:00",NULL,NULL,"1"
71917,8351,8350,"2020-03-24 11:00:00","2020-03-31 07:02:00",NULL,NULL,"1"
71934,8351,8350,"2020-03-24 11:00:00","2020-04-07 10:47:00",NULL,NULL,"1"
60167,8351,8350,"2020-03-24 11:00:00","2020-04-07 12:55:00",NULL,NULL,"1"
109181,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00",NULL,NULL,"1"
